Mapping Ref,Ref,Project Name ,Sponsor ,LA,Pipeline First Cut ,Known HE involvement?,Postcode,Developer ,One Line Summary ,Number Of Units ,Site Size (hectares),Greenfield/Brownfield,Place-based Pipeline Y/N,Place-based Pipeline Link,Mix,SPP Priority Area Y/N,SPP Priority Area,Planning  Status ,Developer Status ,Land Ownership Type ,Procurement Route ,Enabling Works Start,Housing Start,Project Completion Date ,Market Failure Type,Intervention Required?,Revenue / Development Ask ,Intervention Type,Constraints,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
1,RP001,Hawthorne Grove,Plus Dane,Halton,Short,0,PR9 7AA,Plus Dane ,"22 new build, 1 Bed Flats",22,0.29,Brownfield,,,100% Social Rent,No,No,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,Package Deal With Contractor ,2026-02-26 00:00:00,2026-04-26 00:00:00,TBC,Market Power,1,,Viability gap ,"Viaility, Abnormals on site ",,,,,,,,,
2,RP002,Heysham Road,YHG,Sefton,Short,0,L30 6UR,Your Housing Group ,54 Affordable Homes ,54,1.5,,,,"50% Shared Ownership, 50% Social Rent/ affordable rent ",No,,"No Allocation, No Planning Permission, expired permission or other ",Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,ICN Framework ,2026-04-01 00:00:00,2026-04-01 00:00:00,TBC,,,,Viability gap Grant ,"Site viability, ground conditions",,,,,,,,,
3,RP003,Alder Hey,Torus ,Liverpool,Short,0,L12 2AZ,Torus ,8 units for Autism in one block,8,,Brownfield,,,Specialist/ Supported ,No,,Full/RM Consent in Place,Procurement/ Negotations underway ,Single Private,Package ,2025-09-26 00:00:00,2026-04-26 00:00:00,2027-11-01 00:00:00,,1,,Viability gap Grant ,"Demolition of existing creche on site not due to take place until Sept 25'.  A start on build could take place from Oct 25', under Step Places' current build programming.",,,,,,,,,
4,RP004,Ullswater Avenue ,Torus ,St Helens,Medium,0,WA11 7PT,Torus ,"33 Social Rent Units. 2,3,4 Bedroom homes & 1 bed flats ",33,1.49,Brownfield,,,100% Social Rent,No,,"No Allocation, No Planning Permission, expired permission or other ",Procurement/ Negotations underway ,Public,Negotiated Land and works Package,2026-07-01 00:00:00,2026-07-01 00:00:00,2028-12-01 00:00:00,,1,,Extensive site clearance and viability ,"The site will require extensive clearance, site investigations and possible removal of obstructions in the ground.",,,,,,,,,
5,RP005,"Carr Lane, Prescot ",Plus Dane,Knowsley,Short,0,L34 1AZ,Plus Dane Housing ,93 new homes in Prescot ,93,3.4,Brownfield,,,"23 Social Rent, 49 RTB, 16 Shared Ownership ",No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Public,Land and Build Package ,2026-05-26 00:00:00,2026-09-26 00:00:00,2028-09-01 00:00:00,Market Power,1,,"Viability gap, remdiation and validation costs ","Viability, abnormals, remidiation and validation costs.  Off site highway works also requried.",,,,,,,,,
6,RP006,Baltic 2 ,Torus ,Liverpool,Short,0,L1 0BE,Torus ,"93 RTB apartments, 4 commmercial units in 2 blocks linked by a central core.",93,0.15,Brownfield,,,100% RTB Apartments,No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Single Private ,Negotiated - Framework,2026-04-01 00:00:00,2026-06-01 00:00:00,2028-04-01 00:00:00,Market Power ,1,,Viability gap  ,"The area of the scheme is tight with it being squeezed in between 2 other developments which will make construction a challenge, the scheme is also subject to Gateway 2 and 3 sign offs.",,,,,,,,,
7,RP007,Sandy Lane ,Torus ,Liverpool,Short,0,L9 0EW ,Torus ,52 dwellings w/ landscaping at former Fold Hill Foods Factory,52,1.1,Brownfield,,,"30 Social Rent, 23 RTB",No,,Full/RM Consent in Place,Developer/contractor/RP in place and/or none needed (i.e. self-delivery),Single Private,"Site tendered by Breck via Savills, Torus has secured preferred bidder status and Heads of Terms are being finalised with Breck Homes Limited",2025-12-01 00:00:00,2026-01-01 00:00:00,2028-01-01 00:00:00,,1,,Viability gap ,Demolition and removal of existing buildings,,,,,,,,,
8,RP008,Cherryfield Drive ,Torus ,Knowsley,Short,0,L32 8SA,Torus ,145 new homes on a greenfield site in Kirby ,145,4.14,Greenfield,,,"51 Shared Ownership, 40 RTB, 40 Social Rent, 11 AR S106, 3 SO S106 ",No,,Full/RM Consent in Place,D/C/RP procurement/negotiations underway,Single Private,Partnered delivery via negotiated terms with Barrat David Wilson ,Started ,2025-12-25 00:00:00,2025-04-28 00:00:00,,1,,Viability gap,"Enabling works required including road, draingae and site servicing",,,,,,,,,
9,RP009,Cowley Hill Phase 1 ,Torus ,St Helens,Medium,1,WA10 2RZ,Torus ,Delivery of 212 units for affordable housing ,212,42,Brownfield,,St Helens Town Centre,"113 Social Rent, 61 Shared Ownership, 38 RTB",Yes,Cowley Hill ,Outline/Hybrid consent granted,D/C/RP procurement/negotiations underway,Public,JCT D&B,2026-01-26 00:00:00,2026-06-26 00:00:00,2029-06-01 00:00:00,,1,,Viability Gap,,,,,,,,,,
10,RP010,Ravenswood,Torus ,Wirral,Short,0,CH42 4AG,Torus ,Renovation of Grade 2 listed building into 8 social rented apartments,8,,Brownfield,,,100% social rent,Np,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Unknown,Direct Negotiations following previous contractor ceasing trading ,,2025-09-01 00:00:00,2027-03-01 00:00:00,,1,,Viability gap,Requirement of Listed Building consent. Agreement of scope of works from the Conservation Officer. Building in dangerous state of repair following water ingress and arson while in LA ownership,,,,,,,,,
11,RP011,Daresbury Garden Village ,Torus ,Halton,Short,0,WA4 4BT,Torus ,90 new homes in Daresbury Garden Village,90,3.2,Greenfield,,,"12 SR, 28 SO ",No,,Outline/Hybrid consent granted,D/C/RP procurement/negotiations underway,Single Private,Partnered Delivery Model with negotiated build contract with Castle Gren ,,2027-01-01 00:00:00,2028-09-01 00:00:00,,1,,Viability gap ,Affordable housing would not be deliverable without grant support,,,,,,,,,
12,RP012,Elton Head Road ,Torus ,St Helens,Medium,0,WA9 5HL,Torus ,"Delivery of 150 affordable units - a mix of shared ownership, rent to buy and social rent.",150,2.76,Greenfield,,,"82 SR, 58 SO",No,,Allocated and/or planning application being prepared and/or outline/hybrid planning submitted,D/C/RP procurement/negotiations underway,Single Private,Package deal ,2026-09-01 00:00:00,2026-12-01 00:00:00,2029-11-01 00:00:00,,1,,Viability gap,Not Known,,,,,,,,,
